STATION,NAME,DATE,SNWD,TAVG,TMAX,TMIN
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-12,0,,76,52
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-13,0,,75,60
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-14,0,,78,57
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-15,0,,77,65
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-16,0,,73,65
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-17,0,,73,54
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-18,0,,82,57
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-19,0,,80,59
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-20,0,,67,48
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-21,0,,64,40
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-22,0,,63,50
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-23,0,,65,47
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-24,0,,71,44
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-25,0,,78,56
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-26,0,,77,52
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-27,0,,77,62
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-28,0,,75,53
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-29,0,,68,58
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-09-30,0,,66,48
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-10-01,0,,65,42
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-10-02,0,,82,54
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-10-03,0,,90,61
